Prop_ID,Name,Location,Num_of_Courts,lat,lon,Borough
X169,Agnes Haywood Playground,"E. 215 St., Barnes Ave., E. 216 St.",2,40.8804,-73.8621,Bronx
X172,Allerton Playground,"Allerton, Bouck, Throop Aves. & Stedman Place",4,40.8659,-73.8506,Bronx
X219,Arcilla Playground,"Clay, Park, and Teller Aves., E. 164 St.",4,40.827,-73.9148,Bronx
X150J,Bailey Playground,Bailey Avenue & 234 St.,6,40.8818,-73.9002,Bronx
X166,Behagen Playground,"165-166 Sts., Union Avenue",2,40.8258,-73.9008,Bronx
X108,Belmont Playground,"E. 181 & E. 182 Sts., Crotona & Belmont Aves.",6,40.8504,-73.8874,Bronx
X002,Brady Playground,Bronxdale Blvd. & Bronx Park East,4,40.8519,-73.8694,Bronx
X183,Bruckner Playground,Phillips & Cross Bronx Expressway,2,40.8267,-73.829,Bronx
X121,Bufano Playground,Waterbury & LaSalle Aves.,8,40.8385,-73.8315,Bronx
X232,Burns Playground,"Mace, Lodovick, & Gunther Aves.",4,40.863,-73.8364,Bronx
X187,Campanaro Playground,"Gun Hill & Eastchester Rds., Arnow Ave.",2,40.8678,-73.843,Bronx
X194,Captain Rivera Playground,"Forest Ave., E. 156 St.",2,40.8178,-73.9067,Bronx
X160,Caserta Playground,St. Raymond Ave. & Purdy St.,2,40.8372,-73.8538,Bronx
X200,Clark Playground,"3rd Ave, E. 144 to 145 Sts.",1,40.8137,-73.9214,Bronx
X122,Colucci Playground,Mayflower & Wilkinson Aves.,4,40.8524,-73.8343,Bronx
X021,Drew Playground,"Fulton Ave., E. 169 St.",2,40.8333,-73.9033,Bronx
X185,Dunbar Playground,"E. 161 St., Trinity Ave",2,40.8233,-73.9063,Bronx
X156,Eastchester Playground,Adee & Tenbroeck Aves.,4,40.8697,-73.853,Bronx
X165,Edenwald Playground,Schieffelin Ave. & E. 229 St.,4,40.8838,-73.8457,Bronx
X146,Flynn Playground,"E. 157 St., 3rd Ave., E. 158 St., Brook Ave.",2,40.8209,-73.9123,Bronx
X150E,Fordham Landing,Fordham Road and Major Deegan,8,40.8635,-73.9101,Bronx
X020,Fort Independence Playground,Sedgwick & Stevenson Aves.,2,40.882,-73.8946,Bronx
X233,Fountain of Youth Playground,"Union Ave., E. 150 St., Tinton Ave. and E. 152 St.",4,40.814,-73.9054,Bronx
X114,Goble Playground,Goble Rd. & Inwood Ave.,2,40.8437,-73.9169,Bronx
X222,Gouverneur Playground,"3rd Ave., St. Paul's Pl., Washington Ave.",2,40.8353,-73.9037,Bronx
X235,Grovehill Playground,"E. 158 St., Eagle Avenue, Cauldwell Ave, E. 156 St",2,40.8197,-73.9091,Bronx
X080,Henry Hudson Park,Palisade Avenue & Kappock Street,2,40.8813,-73.921,Bronx
X017,Julius Richman Park (lower),"E. Tremont, E. Burnside, and Valentine Aves.",2,40.8493,-73.9012,Bronx
